;pid;max.revlevel;dead.count;deads
13892;13137;6;8;12547|15700|41745|155830|322065|307140|325178|360279
13893;13137;6;8;12547|15700|41745|155830|322065|307140|325178|360279
14012;13137;6;8;12547|15700|41745|155830|322065|307140|325178|360279
14013;13137;6;8;12547|15700|41745|155830|322065|307140|325178|360279
14118;13137;6;8;12547|15700|41745|155830|322065|307140|325178|360279
14165;13137;6;5;12547|15700|155830|322065|307140
14186;13137;6;6;12547|15700|41745|155830|307140|325178
14284;13137;6;8;12547|15700|41745|155830|322065|307140|325178|360279
14285;13137;6;8;12547|15700|41745|155830|322065|307140|325178|360279
14448;13137;6;8;12547|15700|41745|155830|322065|307140|325178|360279
14596;13137;6;8;12547|15700|41745|155830|322065|307140|325178|360279
14686;13137;6;6;12547|155830|322065|307140|325178|360279
14702;13137;6;8;12547|15700|41745|155830|322065|307140|325178|360279
14785;13137;6;4;12547|155830|322065|307140
365;13939;5;17;589515|586805|587198|587571|588411|3085|4007|4614|11389|12053|15700|41745|155830|322065|307140|325178|360279
569;13939;5;14;586805|587198|587571|588411|3085|4614|11389|12053|41745|155830|322065|307140|325178|360279
1037;13939;5;16;587198|587571|588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
2383;13939;5;14;587571|588411|3085|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
2781;13939;5;15;587571|588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
3687;13939;5;14;588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
4078;13939;5;14;588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
4396;13939;4;12;3085|4007|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
7134;13939;5;13;3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
7495;13939;5;13;3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
9233;13939;4;2;4614|307140
9452;13939;5;10;4614|11389|12053|15700|41745|155830|322065|307140|325178|360279
9709;13939;5;10;4614|11389|12053|15700|41745|155830|322065|307140|325178|360279
